Frame,Sub Frame,Phone_RX,Phone_RY,Phone_RZ,Phone_TX,Phone_TY,Phone_TZ,Robot_RX,Robot_RY,Robot_RZ,Robot_TX,Robot_TY,Robot_TZ
0,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm
183,0,146.116,121.79,142.626,618.626,-127.291,1175.32,-45.2808,88.0867,49.272,379.984,-148.581,54.4325
184,0,146.18,121.533,142.691,618.783,-126.752,1175.38,-45.2758,88.0899,49.2679,379.981,-148.574,54.4567
185,0,146.135,121.252,142.852,618.992,-126.233,1175.44,-45.3023,88.1046,49.2547,379.98,-148.563,54.4231
186,0,146.052,121.044,142.999,619.148,-125.675,1175.45,-45.3025,88.1042,49.2366,379.983,-148.564,54.4358
187,0,145.783,120.782,143.331,619.329,-124.996,1175.34,-45.2966,88.1088,49.2065,379.995,-148.58,54.4404
188,0,145.704,120.664,143.395,619.43,-124.459,1175.24,-45.2747,88.0902,49.2527,379.987,-148.568,54.4476
189,0,145.83,120.668,143.128,619.527,-124.036,1175.1,-45.3021,88.1263,49.251,379.985,-148.556,54.4362
190,0,145.834,120.603,143.069,619.629,-123.55,1174.92,-45.2913,88.099,49.2579,379.977,-148.561,54.4301
191,0,145.812,120.54,142.984,619.724,-123.095,1174.67,-45.2976,88.1024,49.2492,379.98,-148.568,54.4258
192,0,145.764,120.491,143.002,619.807,-122.688,1174.5,-45.2644,88.0686,49.2706,379.99,-148.562,54.4476
193,0,145.674,120.267,143.312,619.922,-122.207,1174.39,-45.2546,88.0685,49.2823,379.984,-148.56,54.4402
194,0,145.701,120.217,143.341,619.967,-121.832,1174.23,-45.2782,88.0932,49.2494,379.987,-148.568,54.4643
195,0,145.799,120.157,143.337,620.022,-121.489,1174.08,-45.2922,88.0953,49.2412,379.989,-148.574,54.4478
196,0,145.788,120.194,143.19,620.088,-121.256,1173.81,-45.2986,88.0753,49.2475,379.988,-148.569,54.4325
197,0,145.676,120.168,143.244,620.161,-120.915,1173.53,-45.2718,88.0937,49.2752,379.991,-148.579,54.4446
198,0,145.434,120.216,143.285,620.226,-120.58,1173.15,-45.282,88.109,49.2755,379.997,-148.553,54.4547
199,0,145.174,120.305,143.281,620.274,-120.254,1172.7,-45.2573,88.1027,49.2847,379.989,-148.567,54.452
200,0,144.92,120.295,143.339,620.389,-119.938,1172.31,-45.2632,88.0842,49.257,379.984,-148.585,54.4474
201,0,144.704,120.302,143.384,620.496,-119.643,1171.94,-45.2596,88.0686,49.292,379.986,-148.565,54.447
202,0,144.654,120.302,143.39,620.579,-119.38,1171.67,-45.3085,88.1159,49.2607,379.993,-148.561,54.4445
203,0,144.473,120.149,143.673,620.734,-119.047,1171.45,-45.2821,88.1096,49.2572,379.99,-148.578,54.4569
204,0,144.467,120.152,143.647,620.835,-118.846,1171.25,-45.265,88.0983,49.2698,379.986,-148.558,54.4404
205,0,144.545,120.101,143.64,620.96,-118.7,1171.12,-45.3128,88.0978,49.2245,379.987,-148.57,54.4154
206,0,144.673,120.187,143.397,621.053,-118.655,1170.97,-45.29,88.1139,49.259,379.988,-148.555,54.4278
207,0,144.718,120.121,143.42,621.201,-118.568,1170.9,-45.2889,88.0763,49.2553,379.99,-148.571,54.4579
208,0,144.813,120.111,143.373,621.322,-118.47,1170.79,-45.2635,88.0867,49.2779,379.981,-148.569,54.4307
209,0,144.782,120.112,143.35,621.433,-118.378,1170.63,-45.3092,88.112,49.2246,379.995,-148.558,54.4191
210,0,144.736,120.127,143.318,621.519,-118.294,1170.42,-45.2802,88.1122,49.2625,379.988,-148.566,54.4587
211,0,144.626,120.149,143.334,621.6,-118.246,1170.21,-45.2821,88.085,49.2472,379.995,-148.56,54.45
212,0,144.547,120.216,143.289,621.636,-118.207,1169.94,-45.2794,88.0957,49.2688,379.973,-148.574,54.4447
213,0,144.38,120.269,143.341,621.682,-118.186,1169.72,-45.2901,88.1102,49.2525,379.993,-148.575,54.4476
214,0,144.192,120.304,143.399,621.721,-118.171,1169.47,-45.3024,88.098,49.243,379.99,-148.568,54.4491
215,0,144.014,120.355,143.439,621.753,-118.18,1169.21,-45.289,88.1159,49.2444,379.977,-148.557,54.4149
216,0,143.904,120.409,143.454,621.769,-118.201,1168.99,-45.2807,88.0988,49.2592,379.99,-148.564,54.4479
217,0,143.736,120.413,143.502,621.812,-118.233,1168.71,-45.2988,88.0959,49.2456,379.997,-148.571,54.4298
218,0,143.586,120.399,143.578,621.843,-118.269,1168.47,-45.2764,88.0985,49.2541,379.995,-148.564,54.4288
219,0,143.442,120.39,143.712,621.847,-118.35,1168.29,-45.279,88.0837,49.2665,379.993,-148.56,54.4346
220,0,143.275,120.366,143.889,621.838,-118.427,1168.1,-45.2764,88.0784,49.2473,379.996,-148.572,54.4533
221,0,143.082,120.44,143.975,621.817,-118.577,1167.9,-45.2737,88.0999,49.2676,379.979,-148.566,54.4653
222,0,142.917,120.509,144.052,621.786,-118.722,1167.7,-45.2916,88.0977,49.2348,379.983,-148.572,54.4323
223,0,142.783,120.545,144.165,621.76,-118.887,1167.55,-45.2697,88.0776,49.2451,379.98,-148.559,54.4252
224,0,142.821,120.644,144.095,621.706,-119.108,1167.43,-45.2925,88.0928,49.2652,379.994,-148.56,54.4324
225,0,142.867,120.71,144.029,621.665,-119.343,1167.34,-45.2916,88.1177,49.24,379.99,-148.57,54.4454
226,0,142.996,120.837,143.903,621.579,-119.593,1167.27,-45.2673,88.087,49.2659,379.989,-148.568,54.4638
227,0,143.123,120.963,143.77,621.511,-119.87,1167.17,-45.2745,88.0967,49.2698,379.985,-148.576,54.4347
228,0,143.215,121.045,143.662,621.482,-120.14,1167.1,-45.2582,88.0997,49.2605,379.991,-148.59,54.4521
